channel,category,count
Sjin,Gaming,1
Snifferish,Gaming,1
HozierVEVO,Music,2
Hozier,Music,1
Waythedit,Entertainment,1
Msah,People & Blogs,1
是曼玉不是鳗鱼 Littlemanyu,People & Blogs,1
Nefis Yemek Tarifleri,Howto & Style,3
AYD TV,People & Blogs,1
UR · Cristiano,Sports,1
UR · Cristiano,People & Blogs,1
Khichi Studio,People & Blogs,1
Felix Tchvertkin,Pets & Animals,1
Short of the Week,Film & Animation,1
Gorillo,Gaming,1
Trivium,Music,8
Curtis Wardley,Music,1
Squidy,Gaming,1
JayDeeMC,Gaming,1
Rayanxiix,Music,2
vibraxio,Entertainment,1
HellFrozen,Gaming,1
Udisen,Gaming,1
ForgeOne,Gaming,1
Claire Cottrill,Music,2
FANATİK FENERLİ💛💙,People & Blogs,1
FIFA,Sports,5
Altın Gün,Music,1
Guych Ovezov,People & Blogs,1
PewDiePie Highlights,Entertainment,15
PewDiePie Highlights,Gaming,6
Epic Vibes,Music,1
Shaun KD,People & Blogs,1
Asmongold Clips,Entertainment,1
Juanma,People & Blogs,2
Loppin',People & Blogs,1
Yahoo Australia,News & Politics,1
Know Your Meme,Entertainment,1
Naux - Gameplay Café,Gaming,1
Ada Büyük V2,People & Blogs,2
Eurosport,Sports,7
saniye hanim,Gaming,21
saniye hanim,People & Blogs,1
Furkan Abi,Comedy,2
Power Trip - Topic,Music,1
TradingLab,Education,8
hallandoatesVEVO,Music,2
Ömer Coşkun,Science & Technology,1
Chuckle Makes You Laugh,People & Blogs,2
1.4M views,People & Blogs,1
Martin Rønning,Music,2
kamanice,Gaming,1
BZ ,People & Blogs,5
Lynch,Entertainment,1
Hefecelik,Gaming,1
RHAIEM,Music,1
Movie Wrap,People & Blogs,2
Hikayelerle Futbol,Sports,3
adamjordan,People & Blogs,1
Blade City,Entertainment,1
Slot Oyunları Asgard,Gaming,5
Melsinde,Music,2
lukegerr,Sports,1
24KJHON EDITZ,Entertainment,1
Karışık Video,People & Blogs,1
martincitopants,Gaming,2
Ufak Tefek Bilgiler,Howto & Style,1
keremkdk,Gaming,6
Blaire Music,Music,1
Peakzmotivation,People & Blogs,1
Bradley Hall,Music,95
YouTube International Spotlight,Entertainment,2
Movie Facts Guy,Film & Animation,1
Saniye,Gaming,26
Saniye,Entertainment,13
Saniye,People & Blogs,27
SNR Cinema,Film & Animation,7
That's funny,Film & Animation,1
Fleetwood Mac,Music,6
PB Cinema,People & Blogs,2
Austyn Crispell,Education,1
Rotten Tomatoes TV,Film & Animation,5
KendricksBurner,People & Blogs,1
The Brambleverse,Comedy,1
Minecraft,Gaming,1
Umar Jamil,Science & Technology,1
Federal,Entertainment,1
Benedict Polizzi ,Comedy,1
Gülen Kesitler,Entertainment,6
MandalF,Gaming,1
Sürprizbozan,Film & Animation,1
Gainz,People & Blogs,1
Marvel Entertainment,Entertainment,2
camman18,Entertainment,11
DotaDemi,Entertainment,1
Tarkis ZOne Productions,Education,1
Kenny,Gaming,1
BoltMotivation,People & Blogs,2
AI_Editz,People & Blogs,1
Dümenden Hikayeler,People & Blogs,1
Escp Gaustons,Film & Animation,1
Music Media,Music,1
KaiSpeedTV,Entertainment,2
IV4RAE ,Film & Animation,1
ONLYEDİT,Gaming,1
DazZleHistory,Gaming,1
Viralnomic,Entertainment,1
TwitchTR53,Entertainment,10
Talentlenus,Gaming,2
Digital Gelişim,Education,3
Ryukahr Shorts & Longs,Gaming,1
Balticen,Sports,1
ZettaPo,People & Blogs,4
Cüneyt Sevindik / Asayiş Berkemal,People & Blogs,1
Volleyball fun,Sports,1
Fighting Centre,Sports,1
Ad God,Gaming,1
ArcVillain,Entertainment,1
𝗺𝗼𝗼𝗱𝗯𝗲𝗮𝘁𝘇,People & Blogs,1
Amply Awesome,Sports,1
ThePrimeagen,Science & Technology,3
MineLand,Gaming,1
Bürkütedits,People & Blogs,2
EineZiege,Gaming,1
INX EDITS,People & Blogs,1
That Movie Guy,People & Blogs,1
Geo All Day,Education,1
Geo All Day,Entertainment,1
 Gayara Gaming ,Gaming,1
8k summit ,People & Blogs,1
Swolziy Edit,Gaming,1
Gohar Khan,Education,1
GeoTBone,People & Blogs,1
Tilley & Alpha ,Music,1
Lukky Jojo,Film & Animation,1
AlfaProton,Education,1
catchthedit,Gaming,2
Bests of TV Shows,Entertainment,1
John Parker 117,Gaming,2
Reliving Legends,People & Blogs,1
𝗠 𝗥 𝗦 𝗥 𝗜 𝗩 𝗘 𝗥,People & Blogs,1
KSIClips,Entertainment,3
Mert Yiğit Yıldız ,Education,33
Tales From Mars,News & Politics,1
PodCut Chronicles,Entertainment,1
NemoCraft,People & Blogs,1
NumbSkull,Gaming,1
Fatih Altaylı,People & Blogs,1
Zdak,Entertainment,2
かよきち,Gaming,1
Omer Kocabas,People & Blogs,1
TROLLPAZARLAMA ,People & Blogs,1
Yubro,People & Blogs,1
Sleep Token,Music,17
Sleep Token,People & Blogs,6
BotezLive,Gaming,2
