video_id,category,subcategory,watched_on,channel,duration
gr3b-Hw1Dlk,Entertainment,comedy,2022-06-18T20:09:41.017Z,TommyKayClips,0.008611111111111111
I0ZDJq8te-c,Entertainment,comedy,2022-06-18T20:08:36.263Z,TommyKayClips,0.0125
f4cWZSY2ugs,Entertainment,comedy,2022-06-18T20:07:17.260Z,TommyKayClips,0.016944444444444446
cbYEgi6USKM,Entertainment,comedy,2022-06-18T20:06:25.444Z,TommyKayClips,0.010555555555555556
obw3hue926o,Entertainment,comedy,2022-06-18T20:05:13.504Z,TommyKayClips,0.016944444444444446
qp-wzVweh2U,Entertainment,comedy,2022-06-18T20:03:00.178Z,TommyKayClips,0.02722222222222222
pl8tuHQ1ihk,Gaming,strategy,2022-06-18T20:02:00.204Z,TommyKayClips,0.013333333333333334
imW6atDY-9s,Education,exam_prep,2022-06-18T16:55:30.350Z,Dr.Biyoloji,0.003611111111111111
_nmyRjHYKn0,Education,other_education,2022-06-16T18:42:15.011Z,Eyüp B. Matematik Geometri,0.35444444444444445
TkXq9SGWO38,Music,other,2022-06-18T16:44:59.972Z,Metallica,0.10194444444444445
GtLI8xGDVes,Education,exam_prep,2022-06-16T18:42:08.084Z,Eyüp B. Matematik Geometri,0.26
-PHUwYkIkAM,Education,exam_prep,2022-06-14T17:41:28.818Z,Eyüp B. Matematik Geometri,0.4216666666666667
JtHmgDE-w38,Education,exam_prep,2022-06-13T16:58:36.614Z,Eyüp B. Matematik Geometri,0.40805555555555556
kVfPId8Hngc,Education,exam_prep,2022-06-18T15:23:47.468Z,Kimya Dersleri - Sinan İHTİYAROĞLU,0.31277777777777777
qWrg8WzR-UI,Education,exam_prep,2022-06-12T14:07:45.977Z,Kimya Dersleri - Sinan İHTİYAROĞLU,1.4986111111111111
acsUnXI8tBI,Education,exam_prep,2022-06-18T14:26:22.394Z,Bilgi Matematik,0.06416666666666666
X3zIBoVG4Lk,Education,exam_prep,2022-06-14T11:36:40.490Z,VIP FİZİK,1.7725
4XbObgubI4s,Education,exam_prep,2022-06-12T14:07:52.109Z,Kimya Dersleri - Sinan İHTİYAROĞLU,0.8827777777777778
vINp9fZtGYk,Education,exam_prep,2022-06-18T13:18:47.564Z,Oğuz Ceyhan,0.07972222222222222
bTLeNLMBbzs,Education,exam_prep,2022-06-18T12:11:22.223Z,Yektug Mat YKS DGS ALES KPSS,1.8927777777777777
VBsxJ5emCGU,Education,exam_prep,2022-06-18T12:03:43.353Z,VIP FİZİK,0.003611111111111111
VjsiWxNksW0,Education,exam_prep,2022-06-18T11:34:10.576Z,Gri Koç,0.0044444444444444444
MczDdGmSma4,Education,exam_prep,2022-06-17T19:52:43.726Z,Kimya Dersleri - Sinan İHTİYAROĞLU,0.42833333333333334
7tlTzGIt8cU,Education,exam_prep,2022-06-17T19:49:07.999Z,Kimya Dersleri - Sinan İHTİYAROĞLU,0.44166666666666665
eUldpVy4_Ew,Education,exam_prep,2022-06-16T12:21:22.359Z,Dr.Biyoloji,2.135
O44Brg5-rtY,Education,exam_prep,2022-06-05T12:04:42.843Z,Özcan Aykın FİZİK,0.34444444444444444
IPTQ0G40tR4,Education,exam_prep,2022-05-05T17:54:28.342Z,Özcan Aykın FİZİK,0.43722222222222223
QADDHgS3W-g,Education,exam_prep,2022-05-15T21:07:10.878Z,Özcan Aykın FİZİK,0.4722222222222222
uFX15S68FOw,Education,exam_prep,2022-06-17T13:42:18.856Z,Özcan Aykın FİZİK,0.4688888888888889
yxWmFbOUgrE,Education,exam_prep,2022-06-17T13:28:12.207Z,Özcan Aykın FİZİK,0.44583333333333336
UQWGLMROU-s,Education,other_education,2022-06-17T13:06:42.074Z,VIP FİZİK,0.004166666666666667
-u5H9e4kp_I,Education,exam_prep,2022-06-16T18:21:55.060Z,Dr.Biyoloji,1.211111111111111
JSVZgJdjDlE,Education,exam_prep,2022-06-17T11:11:53.074Z,Dr.Biyoloji,1.1497222222222223
nQ4qQfHLKT0,Gaming,streaming,2020-11-24T17:15:36.752Z,Dost Kayaoğlu,0.8477777777777777
fRbLSBmCcd4,Entertainment,other_entertainment,2022-06-14T11:13:21.440Z,Dr.Biyoloji,1.3180555555555555
W1VC_BBlC14,Education,exam_prep,2022-06-16T18:24:59.519Z,Gri Koç,0.4444444444444444
nq_nVDWA-1c,Education,exam_prep,2022-06-17T09:12:46.588Z,HALE HOCA,0.6755555555555556
gilcjptWtjI,Education,exam_prep,2022-06-17T09:06:36.546Z,HALE HOCA,1.7869444444444444
2AoODuAfcRA,Education,exam_prep,2022-06-17T06:11:14.945Z,Evrim Ağacı,0.1897222222222222
a7wif9BL0do,Education,exam_prep,2022-06-16T19:13:15.967Z,Eyüp B. Matematik Geometri,1.2602777777777778
WN08626t5Pc,Education,exam_prep,2022-06-16T18:58:20.395Z,Gri Koç,0.01638888888888889
uQ6-nQCAJ-o,Education,exam_prep,2022-06-06T18:59:41.871Z,ANIL HOCA İLE MATEMATİK,5.2175
VfjGFmRAu-0,Education,exam_prep,2022-06-16T18:56:07.793Z,Eyüp B. Matematik Geometri,1.1116666666666666
9qSF-Fodds0,Education,exam_prep,2022-06-16T18:50:32.997Z,Eyüp B. Matematik Geometri,1.1319444444444444
MBb1Gfg-IWY,Education,exam_prep,2022-06-16T18:35:16.353Z,Eyüp B. Matematik Geometri,1.2763888888888888
cS324fdpPqY,Gaming,strategy,2022-06-16T18:20:10.637Z,Suppexion,0.02638888888888889
0pQvYzSzgUY,Gaming,streaming,2020-11-24T17:16:13.415Z,Dost Kayaoğlu,0.4602777777777778
cgfKU3ZI58E,Entertainment,comedy,2022-06-16T16:38:26.086Z,TommyKayClips,0.008611111111111111
m4B9vG9JLN4,Entertainment,comedy,2022-06-16T16:37:03.246Z,TommyKayClips,0.009166666666666667
_aUORYHQPR4,Entertainment,comedy,2022-06-16T16:35:49.223Z,TommyKayClips,0.008611111111111111
PfEZ3VBdwtY,Education,exam_prep,2022-06-16T16:16:30.751Z,Eyüp B. Matematik Geometri,1.1844444444444444
